                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6669,                  1.291,                 1.3111,                0.68423,                0.63983,                0.65721,                  0.378,                 1.6002,                  1.589,                 1.1743,               0.008911,               0.008911,               0.008911
                     36,                 1.6744,                 1.2909,                 1.3012,                0.68541,                0.66649,                0.67155,                 0.3874,                 1.6237,                 1.4955,                 1.1923,               0.008878,               0.008878,               0.008878
                     37,                 1.6721,                 1.2921,                  1.303,                0.68973,                0.65915,                0.67065,                0.38354,                 1.5974,                 1.5913,                 1.1757,               0.008845,               0.008845,               0.008845
                     38,                 1.6856,                 1.2987,                 1.3089,                0.67402,                0.66594,                0.65305,                0.37282,                 1.6334,                 1.5271,                 1.1905,               0.008812,               0.008812,               0.008812
                     39,                  1.669,                 1.2932,                 1.3037,                0.67047,                0.67414,                0.65216,                0.38073,                  1.582,                 1.6506,                 1.1621,               0.008779,               0.008779,               0.008779
                     40,                 1.6648,                 1.2842,                 1.3074,                0.69318,                0.64654,                0.64359,                0.34013,                 1.7188,                 1.7083,                 1.2104,               0.008746,               0.008746,               0.008746
                     41,                 1.6532,                 1.2789,                 1.3014,                0.69215,                0.64465,                0.65237,                0.37963,                 1.5698,                 1.5527,                 1.1583,               0.008713,               0.008713,               0.008713
                     42,                 1.6663,                 1.2826,                 1.3164,                0.67987,                0.67356,                 0.6599,                0.37977,                 1.6176,                 1.7362,                 1.1834,                0.00868,                0.00868,                0.00868
                     43,                 1.6484,                 1.2613,                 1.2945,                0.67143,                0.67029,                0.66155,                0.38759,                 1.5956,                 1.5957,                 1.1714,               0.008647,               0.008647,               0.008647
                     44,                 1.6461,                 1.2676,                 1.2937,                0.66552,                  0.679,                 0.6402,                0.36441,                 1.5715,                 1.5984,                 1.1662,               0.008614,               0.008614,               0.008614
                     45,                 1.6482,                 1.2615,                 1.2952,                0.68962,                0.68664,                0.67125,                0.38628,                 1.6074,                 1.6331,                 1.1789,               0.008581,               0.008581,               0.008581
                     46,                 1.6388,                 1.2499,                 1.2855,                0.68569,                 0.6975,                0.67958,                 0.3931,                  1.582,                 1.4739,                 1.1581,               0.008548,               0.008548,               0.008548
                     47,                  1.639,                 1.2589,                 1.2925,                0.68245,                0.67465,                0.65299,                0.38018,                  1.588,                 1.6276,                 1.1562,               0.008515,               0.008515,               0.008515
                     48,                 1.6318,                 1.2367,                 1.2839,                0.70398,                0.67193,                0.67856,                0.39396,                 1.5885,                 1.5087,                 1.1696,               0.008482,               0.008482,               0.008482
                     49,                   1.63,                 1.2219,                   1.28,                0.66341,                0.69151,                0.67098,                0.38173,                 1.6152,                 1.8354,                 1.1754,               0.008449,               0.008449,               0.008449
                     50,                 1.6363,                  1.239,                 1.2757,                0.67857,                 0.6834,                 0.6563,                 0.3832,                 1.5568,                 1.5432,                 1.1588,               0.008416,               0.008416,               0.008416
                     51,                 1.6358,                  1.243,                 1.2739,                0.69826,                0.68607,                0.68416,                0.40113,                 1.5954,                 1.5482,                   1.16,               0.008383,               0.008383,               0.008383
                     52,                 1.6461,                 1.2349,                 1.2805,                 0.6985,                  0.679,                0.67261,                0.39833,                 1.5557,                 1.5006,                 1.1536,                0.00835,                0.00835,                0.00835
                     53,                 1.6511,                 1.2581,                 1.2893,                0.69896,                0.69097,                0.67687,                0.40003,                 1.5333,                 1.4359,                 1.1356,               0.008317,               0.008317,               0.008317
                     54,                 1.6292,                 1.2363,                 1.2743,                 0.6807,                0.70522,                0.67084,                0.39625,                 1.5586,                 1.5832,                 1.1518,               0.008284,               0.008284,               0.008284
                     55,                  1.633,                 1.2331,                 1.2858,                0.69269,                0.68798,                0.68396,                0.39846,                 1.5716,                  1.459,                 1.1472,               0.008251,               0.008251,               0.008251
                     56,                 1.6308,                 1.2332,                 1.2844,                0.70884,                0.69803,                0.69969,                0.40832,                 1.5492,                 1.5376,                 1.1406,               0.008218,               0.008218,               0.008218
                     57,                 1.6258,                 1.2224,                 1.2706,                0.69836,                0.70541,                0.68233,                0.41118,                 1.5224,                 1.4682,                 1.1345,               0.008185,               0.008185,               0.008185
                     58,                 1.6296,                 1.2207,                 1.2839,                0.71153,                0.68009,                0.68402,                0.40317,                 1.5531,                 1.4639,                 1.1438,               0.008152,               0.008152,               0.008152
                     59,                 1.6262,                 1.2123,                 1.2796,                0.69241,                0.70022,                0.67925,                0.40434,                 1.5357,                 1.5207,                 1.1398,               0.008119,               0.008119,               0.008119
                     60,                 1.6314,                 1.2202,                 1.2774,                 0.6905,                0.69695,                0.68102,                0.40922,                 1.5347,                  1.636,                 1.1392,               0.008086,               0.008086,               0.008086
                     61,                 1.6205,                 1.2115,                 1.2756,                0.68779,                0.69876,                0.67759,                0.40631,                 1.5165,                 1.4997,                 1.1339,               0.008053,               0.008053,               0.008053
                     62,                 1.6037,                 1.2103,                 1.2681,                0.69882,                0.70062,                0.69611,                0.41288,                 1.5425,                 1.4598,                 1.1446,                0.00802,                0.00802,                0.00802
                     63,                 1.6208,                 1.2163,                 1.2784,                0.69527,                0.70403,                0.67848,                0.40395,                 1.5209,                 1.5279,                 1.1348,               0.007987,               0.007987,               0.007987
                     64,                 1.6076,                 1.2069,                 1.2616,                0.68962,                0.69024,                0.67326,                 0.4022,                 1.5546,                 1.5924,                 1.1355,               0.007954,               0.007954,               0.007954
                     65,                 1.5998,                 1.1928,                 1.2636,                0.71192,                0.69369,                 0.6916,                0.40279,                 1.5554,                 1.5122,                 1.1355,               0.007921,               0.007921,               0.007921
                     66,                 1.5957,                 1.1997,                  1.258,                0.69377,                0.66808,                0.67073,                0.39621,                 1.5651,                  1.483,                 1.1429,               0.007888,               0.007888,               0.007888
                     67,                 1.5833,                 1.1639,                 1.2529,                0.68372,                0.70348,                0.67722,                0.39329,                 1.5586,                 1.7002,                 1.1331,               0.007855,               0.007855,               0.007855
                     68,                 1.6099,                 1.1856,                 1.2599,                0.70479,                0.69913,                0.68181,                 0.4077,                 1.5187,                 1.6005,                 1.1364,               0.007822,               0.007822,               0.007822
                     69,                 1.6044,                 1.1905,                 1.2653,                0.69189,                 0.6903,                 0.6805,                0.32675,                  1.772,                 1.5714,                 1.2037,               0.007789,               0.007789,               0.007789
                     70,                 1.6113,                 1.2014,                 1.2633,                 0.7029,                0.71001,                0.68922,                0.41341,                 1.5005,                 1.4425,                 1.1146,               0.007756,               0.007756,               0.007756
                     71,                 1.6235,                 1.2125,                 1.2762,                0.69945,                0.70294,                0.68943,                0.41324,                 1.4963,                 1.4315,                 1.1325,               0.007723,               0.007723,               0.007723
                     72,                 1.6032,                 1.1768,                 1.2577,                0.69851,                0.71328,                0.69455,                0.42258,                 1.4897,                 1.4567,                 1.1232,                0.00769,                0.00769,                0.00769
                     73,                 1.6203,                 1.1978,                 1.2683,                0.69264,                0.69518,                0.68213,                0.41548,                 1.5032,                    1.4,                 1.1206,               0.007657,               0.007657,               0.007657
                     74,                 1.5903,                 1.1542,                 1.2516,                0.70576,                0.70469,                0.69526,                0.41431,                 1.5124,                 1.4891,                 1.1258,               0.007624,               0.007624,               0.007624
                     75,                 1.5846,                 1.1783,                 1.2579,                 0.6884,                0.72905,                 0.6933,                0.41961,                 1.4817,                 1.4027,                 1.1086,               0.007591,               0.007591,               0.007591
