                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2064,                 2.2197,                 1.0639,                 1.0586,                 0.8052,                0.65222,                0.74303,                 0.5118,                0.79302,                0.61757,                0.70301,                0.43167,                 1.1134,                 2.1072,                0.91859,                 1.0135,               0.009274,               0.009274,               0.009274
                     25,                 1.2094,                 2.2112,                 1.0597,                 1.0606,                0.80117,                0.67185,                0.75214,                0.51187,                0.80688,                0.60941,                0.70394,                0.42092,                 1.0875,                 2.0973,                0.93123,                 1.0046,               0.009241,               0.009241,               0.009241
                     26,                  1.198,                 2.1847,                 1.0491,                 1.0543,                0.79319,                0.62962,                0.73026,                0.50379,                 0.7913,                0.60564,                0.69259,                0.41771,                 1.1135,                 2.0827,                 0.9116,                 1.0091,               0.009208,               0.009208,               0.009208
                     27,                 1.1972,                 2.1791,                 1.0479,                 1.0576,                0.80355,                0.66451,                0.74836,                0.50161,                 0.7925,                0.63084,                0.71456,                0.43784,                  1.174,                 2.1725,                0.92971,                 1.0184,               0.009175,               0.009175,               0.009175
                     28,                 1.1806,                 2.1428,                 1.0369,                 1.0483,                0.80238,                0.64827,                0.73963,                0.50965,                0.78829,                0.62417,                0.70289,                0.42811,                  1.114,                 2.1137,                0.90453,                 1.0044,               0.009142,               0.009142,               0.009142
                     29,                 1.2027,                 2.2056,                 1.0492,                 1.0545,                0.82336,                0.66265,                0.75909,                0.52439,                0.80976,                  0.644,                0.72145,                0.43738,                 1.0928,                 2.0664,                0.84976,                 1.0156,               0.009109,               0.009109,               0.009109
                     30,                 1.1998,                 2.1978,                 1.0414,                 1.0554,                0.80495,                0.62233,                0.72725,                0.49375,                0.77999,                 0.5966,                0.68439,                0.41044,                 1.1521,                 2.1068,                0.93098,                 1.0252,               0.009076,               0.009076,               0.009076
                     31,                 1.1836,                  2.164,                 1.0234,                 1.0495,                0.78957,                0.64788,                0.72715,                0.51411,                0.78846,                0.61329,                0.69557,                0.43673,                 1.0571,                 2.0689,                0.96048,                 1.0011,               0.009043,               0.009043,               0.009043
                     32,                 1.1745,                  2.145,                 1.0211,                 1.0453,                0.79952,                0.67114,                0.75059,                0.51393,                0.78094,                0.63234,                0.70237,                0.41784,                 1.0865,                 2.0382,                0.94588,                0.99929,                0.00901,                0.00901,                0.00901
                     33,                 1.1614,                 2.1298,                  1.009,                 1.0431,                 0.8117,                0.65171,                0.74525,                0.51747,                0.80067,                0.60824,                0.69709,                0.42543,                 1.0812,                 2.0415,                0.89801,                 1.0002,               0.008977,               0.008977,               0.008977
                     34,                 1.1807,                 2.1522,                 1.0181,                 1.0465,                0.80355,                0.65293,                 0.7393,                0.51125,                0.78032,                0.62223,                0.69817,                0.43112,                 1.1029,                 2.0547,                  0.925,                 1.0109,               0.008944,               0.008944,               0.008944
                     35,                 1.1697,                  2.142,                 1.0122,                 1.0435,                0.79531,                0.67801,                0.75723,                0.52244,                0.76902,                0.64166,                 0.7114,                0.43235,                 1.0838,                 2.0418,                0.87102,                0.99705,               0.008911,               0.008911,               0.008911
                     36,                  1.164,                 2.1244,                0.99403,                 1.0364,                0.78762,                0.64141,                0.72813,                0.50696,                0.77742,                0.60396,                0.68716,                0.42644,                 1.0889,                 2.1075,                0.90094,                0.99886,               0.008878,               0.008878,               0.008878
                     37,                 1.1602,                 2.1455,                0.99815,                 1.0405,                0.79788,                0.66739,                0.75111,                0.51859,                 0.7849,                0.62767,                0.70419,                0.43063,                 1.0849,                 2.0234,                0.91233,                 1.0029,               0.008845,               0.008845,               0.008845
                     38,                 1.1668,                  2.137,                 1.0052,                 1.0463,                0.79682,                0.65371,                0.74834,                0.51079,                 0.7649,                0.61951,                 0.7016,                0.41686,                 1.1211,                  2.045,                0.85577,                 1.0068,               0.008812,               0.008812,               0.008812
                     39,                 1.1629,                 2.1473,                0.99808,                 1.0419,                0.81751,                0.67207,                0.76735,                0.53595,                 0.8011,                0.64438,                0.73189,                0.44502,                 1.0541,                 1.9731,                0.84407,                0.99191,               0.008779,               0.008779,               0.008779
                     40,                 1.1605,                 2.1291,                0.98509,                 1.0364,                0.82722,                0.66226,                0.76085,                0.53571,                0.79129,                 0.6335,                0.72151,                 0.4477,                 1.0519,                 2.0113,                 0.8447,                0.99717,               0.008746,               0.008746,               0.008746
                     41,                 1.1605,                 2.1215,                 0.9951,                 1.0423,                0.78295,                 0.6782,                0.75915,                0.53212,                0.79147,                0.62379,                0.71466,                0.43983,                 1.0427,                 1.9627,                0.86941,                0.99235,               0.008713,               0.008713,               0.008713
                     42,                 1.1466,                 2.1064,                0.97585,                 1.0345,                0.80494,                0.66421,                0.75655,                0.52508,                 0.8039,                0.63661,                0.72506,                0.44412,                 1.0671,                 2.0109,                0.86414,                0.99878,                0.00868,                0.00868,                0.00868
                     43,                 1.1613,                 2.1441,                 1.0011,                 1.0421,                0.82689,                0.67042,                 0.7724,                0.53936,                0.81296,                0.63852,                0.73732,                 0.4558,                 1.0487,                 1.9902,                 0.8481,                0.98347,               0.008647,               0.008647,               0.008647
                     44,                 1.1476,                 2.1086,                0.97535,                 1.0326,                0.82506,                0.68737,                0.77579,                0.53821,                0.82104,                0.64166,                0.73127,                0.44263,                  1.068,                 1.9701,                0.80751,                0.98473,               0.008614,               0.008614,               0.008614
                     45,                 1.1531,                 2.1096,                0.98105,                 1.0374,                0.81737,                0.69413,                0.77584,                0.54657,                0.80388,                0.65876,                 0.7381,                0.45994,                 1.0121,                 2.0088,                0.85598,                 0.9797,               0.008581,               0.008581,               0.008581
